路線名稱	公車代碼
0東	0100000A00
0南	0100000B00
F152-0620、0745	04540152A0
F152-0635	454015200
F152-0700	454015210
F152-0810	454015220
F152-0845	454015290
F152-0925	454015230
F152-0950	04540152C0
F152-1545	454015240
F152-1630	04540152D0
F152-1655	454015250
F152-1720	454015260
F152-1740	4.54E+06
F152-1800	04540152B0
F153-0620	454015380
F153-0730、0945	454015330
F153-0820	454015340
F153-1030	454015350
F153-1605	454015360
F153-1730	454015370
F161	454016100
F201	454020100
F202	454020200
F205	454020500
F206	454020600
F207	454020700
F211	454021100
F212	454021200
F212副	454021210
F212楓江	454021290
F213	454021300
F213黎明	454021370
F217	454021700
F218	454021800
F233	454023300
F235	454023500
F236	454023600
F237	454023700
F238	454023800
F239	454023900
F250	454025000
F301	454030190
F302	454030200
F303	454030300
F312	454031200
F317	454031700
F319	454031900
F320	454032000
F512	454051200
F512副	454051210
F513	454051300
F521	454052100
F522	454052200
F523	454052300
F525	454052500
F526	454052600
F611	454061100
F623	454062300
F625	454062500
F626-0815	454062680
F626	454062600
F627	454062700
F628	454062800
F629	454062900
F630	454063000
F651	454065100
F652	454065200
幸福巴士F652延伸線	454065290
F653A	454065300
F653B	454065370
F655	454065500
F656	454065600
F657	454065700
F703	454070300
F703前三班	454070390
F711	454071100
F712	454071200
F713	454071300
F721	454072100
F722	454072200
F723	454072300
F723上石嘈	454072380
F723下石嘈	454072390
F724	454072400
F801	454080100
F802	454080200
F803	454080300
F805	454080500
F806	454080600
F807	454080700
F808	454080800
F811	454081100
F812	454081200
F813	454081300
F815	454081500
F815嶺頭觀目	454081570
F816	454081600
F821	454082100
F822	454082200
F823	454082300
F823區	454082320
F825	454082500
F835	454083500
F836	454083600
F837	454083700
F838	454083800
F839	454083900
F901	454090100
F902	454090200
F903	454090300
F905	454090500
F907	454090700
F909伯爵	454090990
F910	454091000
F911	454091100
F913	454091300
F915	454091500
F919八連	454090900
F920	454092090
F921	454092100
F921假日	454092160
F922內崁	454092200
F922北基	454092210
F922烏塗炭	454092270
F923	454092300
F923假日	454092360
F931-0600	454093180
F931-0700	454093120
F931-0800	454093130
F931-0910	454093140
F931-1030	454093150
F931-1255	454093190
F931-1630	454093160
F931-1730	454093170
F932-0600	454093280
F932-0630	454093230
F932-0715	454093220
F932-0820	454093250
F932-0950	454093260
F932-1110	454093290
F932-1630	454093240
F933-0620學生專車	454093390
F933-0635	454093310
F933-0710	454093300
F933-0800	454093380
F933-0920	454093320
F933-1030	454093330
F933-1130	454093340
F933-1330	454093350
F933-1430	454093360
F933-1530	454093370
吉林線	454084000
直潭里線	454093500
貢寮區學生專車	454093600
塗潭平日線	454099900
塗潭假日線	454099960
福連線	454084500
龍崗線	454084100
內科快線1	0152000A00
內科快線2	0152000B00
內科通勤專車2	152000200
內科通勤專車3	152000300
內科通勤專車5	152000500
內科通勤專車6	152000600
內科通勤專車7	152000700
內科通勤專車8	152000800
內科通勤專車10	152001000
內科通勤專車11	152001100
內科通勤專車12	152001200
內科通勤專車13	152001300
內科通勤專車15	152001500
內科通勤專車16	152001600
內科通勤專車17	152001700
內科通勤專車18	152001800
內科通勤專車19	152001900
內科通勤專車20	152002000
內科通勤專車21	152002100
雙園巴士	152005400
南軟通勤專車中和線	152003000
南軟通勤專車天母線	152003100
南軟通勤專車北投線	152003200
南軟通勤專車雙和線	152003400
57	400005700
99	400009900
264	400026400
624	400062400
624綠野香坡	400062470
637	400063700
656	400065600
667	400066700
704	400070400
704區	400070420
705	400070500
706	400070600
788	400078800
788區	461078820
788海科館	400078870
791	400079100
791區	400079120
791繞貢寮	400079170
791經貢寮區衛生	400079190
795往木柵(台灣好行-木柵平溪線)	400079570
795往平溪(台灣好行-木柵平溪線)	400079580
795往十分寮(台灣好行-木柵平溪線)	400079500
813	400081300
819	400081900
849	400084900
849屈尺社區	400084970
857	400085700
860	400086000
862	400086200
880	400088000
923	400092300
936	400093600
936A	400093680
981	410098100
982	410098200
橘5	415000500
藍15	412001500
紅22	411002200
藍22	412002200
藍38	412003800
中山幹線	161000600
仁愛幹線	161000200
內湖幹線	161000100
北環幹線	100062000
民生幹線	161000300
民權幹線	161001300
和平幹線	161000700
忠孝幹線	161001100
承德幹線	161000900
東環幹線	113001600
松江新生幹線	161000400
信義幹線	161001200
南京幹線	161001400
南環幹線	113000100
重慶幹線	161001000
基隆路幹線	161001500
復興幹線	161000800
敦化幹線	161000500
羅斯福路幹線	161001600
兒樂1號線	162003000
兒樂2號線	162003100
懷恩專車S31	162001000
懷恩專車S32	162001100
懷恩專車S33	162001200
懷恩專車S34	162001300
懷恩專車S35	162001400
貓空右線	162002000
貓空左線(指南宮)	162002100
貓空左線(動物園)	162002200
853跳蛙	463085300
939跳蛙	463093900
淡水-國道1號-南港車站	463001200
汐止-台北101	463003000
三重-內科	463005400
三峽-中和高中	463009500
三峽-內科	463002600
三峽-捷運台大醫院站	463000300
三峽-捷運永寧站	463000400
三峽-捷運府中站	463004000
三峽-臺北市信義區	463004500
土城金城路-樹林大安路	463003600
土城-南天母廣場	463008500
中和左岸社區-捷運頂溪站	463007700
中和自立路-新店	463007500
中和-新北板橋公車站	463004600
中和環河西路-永和仁愛路	463007900
五股-內湖科技園區	463003100
北大社區-捷運頂埔站	463009100
台北小城-大坪林	463005200
石門-捷運紅樹林站	463005100
石碇高中-捷運忠孝復興站	463009400
合宜住宅-捷運亞東醫院站	463009600
板橋江翠-捷運新埔站	463009300
林口(文化三路)-捷運圓山站	463001600
林口(文化北路)-捷運圓山站	463008200
林口-內湖科技園區	463000800
林口-板橋	463001300
林口-捷運府中站	463005000
林口-捷運忠孝敦化站	463007300
林口-捷運圓山站	463000500
林口-臺北車站(承德)	463007200
林口-臺北長庚醫院	463003200
政大附中-捷運景美站	463008700
泰山-內湖	463001000
泰山-內湖(直達)	463006100
捷運七張站-全球工業區	463007400
捷運中和站-政大附中	463008600
捷運忠孝復興站-三峽	463009200
捷運頂溪站-捷運頂埔站	463008000
捷運景安站-三峽臺北大學	463003300
捷運新店站-坪林	463009000
捷運蘆洲站-內湖科技園區	463003400
淡水-內湖科技園區	463001100
淡水新市鎮-板橋	463001800
湯泉-十四張-大坪林	463006800
湯泉-大坪林-湯泉	463003900
湯泉-崇光中學	463006300
新店(綠中海)-捷運新店站	463006700
新店北新路-政大一街	463003500
新店-汐止	463000900
新店高中-三峽	463002000
瑞芳(經東碇路)-松山車站	463008900
瑞芳-內科(北客)	463002500
瑞芳-內科(基客)	463002900
瑞芳-松山車站(北客)	463002300
瑞芳-松山車站(基客)	463002400
瑞芳-南港	463008400
萬里-內湖科技園區	463005500
樹林後火車站-海洋公園	463004400
雙園巴士	152005400
蘆洲-中正高中	463007000
蘆洲中正路-士林中正路	463004900
蘆洲-內湖	463006400
蘆洲-南港	463005700
鶯歌火車站-中正紀念堂	463001400
鶯歌火車站-松山機場	463001500
177瑞芳觀光公車	400017700
臺北觀光巴士紅線	162003400
臺北觀光巴士藍線	162003500
232快	100023250
605快	100060550
902	100090200
902區	100090220
903	100090300
905	100090500
905副	100090510
906	400090600
907	100090700
907通勤	100090790
908	400090800
908延	400090870
909	400090900
910	400091000
912	100091200
913	400091300
915	100091500
916	400091600
917	400091700
918	400091800
919	400091900
920	400092000
920副	400092010
920A	400092080
921	400092100
922	400092200
923	400092300
925	400092500
925A	400092580
927	400092700
927經台北港	400092790
928	400092800
930	400093000
930延	400093070
932	400093200
932繞國家教育研究院	400093270
933	400093300
935	400093500
936	400093600
936A	400093680
937	400093700
937副	400093710
937A	400093780
938	400093800
939	400093900
939副	400093910
940	400094000
941	400094100
943	400094300
945	400094500
946	400094600
946副	400094610
947	400094700
948	400094800
949	100094900
950	100095000
951	400095100
952	400095200
953	400095300
953區	400095320
955	100095500
957	100095700
963	400096300
965(台灣好行-九份金瓜石線)	400096500
966	400096600
966副	400096610
966A	400096680
967	400096700
967副	400096710
967直	400096730
景美-榮總(快)	162000400
39夜	100003940
212夜	100021240
265夜	100026540
花季專車124	171002000
花季專車131	171002500
新九號停車場-九份老街	471001600
新九號停車場-水湳洞停車場	471001700
新九號停車場-黃金博物館	471002000
